,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus_0,stimulus_1,duration,actual_depth_0,actual_depth_1,depth_difference,kinect_answer,discrim_choice,trial_RT,log_fixation,log_sceneDuration1,log_mask1,log_sceneDuration2,log_mask2,experimentTime,totalTime,age,gender
301,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,2.0,depth_discrimination_stimuli/001570_2014-06-20_17-21-09_260595134347_rgbf000135-resize_4/001570_2014-06-20_17-21-09_260595134347_rgbf000135-resize_4-target.png,depth_discrimination_stimuli/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1-target.png,1000.0,4.467,4.135,0.33199999999999985,depth_discrimination_stimuli/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1/001392_2014-06-19_16-07-59_260595134347_rgbf000046-resize_1-target.png,1.0,1896.0,1013.0,987.0,1003.0,1003.0,495.0,,1019446,38,Man
302,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,3.0,depth_discrimination_stimuli/001555_2014-06-20_17-12-10_260595134347_rgbf000065-resize_4/001555_2014-06-20_17-12-10_260595134347_rgbf000065-resize_4-target.png,depth_discrimination_stimuli/000103_2014-05-14_22-01-17_260595134347_rgbf000152-resize_5/000103_2014-05-14_22-01-17_260595134347_rgbf000152-resize_5-target.png,1000.0,1.633,1.993,0.3600000000000001,depth_discrimination_stimuli/001555_2014-06-20_17-12-10_260595134347_rgbf000065-resize_4/001555_2014-06-20_17-12-10_260595134347_rgbf000065-resize_4-target.png,0.0,1988.0,1008.0,1004.0,998.0,1000.0,493.0,,1019446,38,Man
304,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,5.0,depth_discrimination_stimuli/001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize_4/001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize_4-target.png,depth_discrimination_stimuli/000742_2014-06-08_18-48-09_260595134347_rgbf000164-resize_4/000742_2014-06-08_18-48-09_260595134347_rgbf000164-resize_4-target.png,1000.0,4.2330000000000005,4.632,0.39899999999999913,depth_discrimination_stimuli/001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize_4/001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize_4-target.png,1.0,1909.0,1003.0,1002.0,1004.0,1001.0,494.0,,1019446,38,Man
305,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,6.0,depth_discrimination_stimuli/001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize_2/001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize_2-target.png,depth_discrimination_stimuli/000556_2014-06-09_22-42-56_260595134347_rgbf000214-resize_1/000556_2014-06-09_22-42-56_260595134347_rgbf000214-resize_1-target.png,1000.0,4.5315,4.8415,0.3099999999999996,depth_discrimination_stimuli/001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize_2/001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize_2-target.png,1.0,1954.0,1011.0,1001.0,992.0,1002.0,496.0,,1019446,38,Man
306,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,7.0,depth_discrimination_stimuli/002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize_1/002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize_1-target.png,depth_discrimination_stimuli/002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize_1/002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize_1-target.png,1000.0,2.195,1.5795,0.6154999999999999,depth_discrimination_stimuli/002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize_1/002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize_1-target.png,1.0,1859.0,1003.0,1005.0,1002.0,1004.0,494.0,,1019446,38,Man
307,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,8.0,depth_discrimination_stimuli/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4-target.png,depth_discrimination_stimuli/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3-target.png,1000.0,1.6909999999999998,1.9569999999999999,0.266,depth_discrimination_stimuli/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4-target.png,0.0,1942.0,1013.0,990.0,1007.0,1002.0,494.0,,1019446,38,Man
308,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,9.0,depth_discrimination_stimuli/003092_2014-06-24_21-01-49_094959634447_rgbf000049-resize_2/003092_2014-06-24_21-01-49_094959634447_rgbf000049-resize_2-target.png,depth_discrimination_stimuli/000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize_3/000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize_3-target.png,1000.0,1.666,2.266,0.6000000000000001,depth_discrimination_stimuli/003092_2014-06-24_21-01-49_094959634447_rgbf000049-resize_2/003092_2014-06-24_21-01-49_094959634447_rgbf000049-resize_2-target.png,0.0,1937.0,1010.0,1003.0,991.0,1005.0,492.0,,1019446,38,Man
309,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,10.0,depth_discrimination_stimuli/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0-target.png,depth_discrimination_stimuli/003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize_0/003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize_0-target.png,1000.0,4.329,4.9305,0.6015000000000006,depth_discrimination_stimuli/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0-target.png,1.0,1939.0,1015.0,986.0,1005.0,1007.0,491.0,,1019446,38,Man
311,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,12.0,depth_discrimination_stimuli/002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize_2/002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize_2-target.png,depth_discrimination_stimuli/000749_2014-06-08_21-55-06_260595134347_rgbf000070-resize_2/000749_2014-06-08_21-55-06_260595134347_rgbf000070-resize_2-target.png,1000.0,1.6465,2.331,0.6844999999999999,depth_discrimination_stimuli/002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize_2/002788_2014-06-22_19-36-03_094959634447_rgbf000088-resize_2-target.png,1.0,2415.0,1014.0,991.0,1005.0,989.0,512.0,,1019446,38,Man
312,701929.0,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_24.json,http://54.173.230.142/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#72,72.0,2560.0,1440.0,2560.0,1440.0,0-26-2022,8-51-4,13.0,depth_discrimination_stimuli/002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize_5/002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize_5-target.png,depth_discrimination_stimuli/002660_2014-06-13_15-44-18_094959634447_rgbf001878-resize_2/002660_2014-06-13_15-44-18_094959634447_rgbf001878-resize_2-target.png,1000.0,2.505,3.576,1.0710000000000002,depth_discrimination_stimuli/002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize_5/002153_2014-06-25_21-27-18_260595134347_rgbf000038-resize_5-target.png,0.0,1899.0,1016.0,984.0,1005.0,1007.0,492.0,,1019446,38,Man
