,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus_0,stimulus_1,duration,actual_depth_0,actual_depth_1,depth_difference,discrim_choice,trial_RT,log_fixation,log_sceneDuration1,log_mask1,log_sceneDuration2,log_mask2,unitSelection,meanDepth_rating,navigability_rating,rated_stimulus,rating_RT,experimentTime,totalTime,age,practice_performance_0,practice_performance_1,practice_performance_2,practice_performance_3,practice_performance_4,practice_performance_5,practice_performance_6,practice_performance_7,practice_performance_8
0,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,1.0,depth_discrimination_stimuli/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize_9/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize_9-target.png,depth_discrimination_stimuli/001618_2014-06-20_11-37-31_260595134347_rgbf000027-resize_3/001618_2014-06-20_11-37-31_260595134347_rgbf000027-resize_3-target.png,250.0,1.3545,1.8725,0.518,0.0,1249.0,1015.0,238.0,1002.0,253.0,487.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
1,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,2.0,depth_discrimination_stimuli/000502_2014-06-08_23-02-32_260595134347_rgbf000063-resize_4/000502_2014-06-08_23-02-32_260595134347_rgbf000063-resize_4-target.png,depth_discrimination_stimuli/001092_2014-06-15_17-34-58_260595134347_rgbf000171-resize_3/001092_2014-06-15_17-34-58_260595134347_rgbf000171-resize_3-target.png,1000.0,2.431,2.6935,0.26249999999999973,1.0,1981.0,1012.0,991.0,1003.0,1005.0,499.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
3,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,4.0,depth_discrimination_stimuli/000742_2014-06-08_18-48-09_260595134347_rgbf000164-resize_4/000742_2014-06-08_18-48-09_260595134347_rgbf000164-resize_4-target.png,depth_discrimination_stimuli/003083_2014-06-15_15-21-03_094959634447_rgbf000063-resize_1/003083_2014-06-15_15-21-03_094959634447_rgbf000063-resize_1-target.png,250.0,4.632,4.1405,0.4914999999999994,0.0,1161.0,1002.0,250.0,1001.0,258.0,503.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
4,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,5.0,depth_discrimination_stimuli/000943_2014-06-09_19-31-07_260595134347_rgbf000128-resize_1/000943_2014-06-09_19-31-07_260595134347_rgbf000128-resize_1-target.png,depth_discrimination_stimuli/001532_2014-06-20_16-50-41_260595134347_rgbf000081-resize_4/001532_2014-06-20_16-50-41_260595134347_rgbf000081-resize_4-target.png,1000.0,1.9765,1.5758333333333001,0.4006666666666998,1.0,1935.0,1003.0,1001.0,1001.0,995.0,504.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
5,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,6.0,depth_discrimination_stimuli/001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize_0/001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize_0-target.png,depth_discrimination_stimuli/000749_2014-06-08_21-55-06_260595134347_rgbf000070-resize_2/000749_2014-06-08_21-55-06_260595134347_rgbf000070-resize_2-target.png,1000.0,2.6625,2.331,0.33150000000000013,1.0,2102.0,1014.0,995.0,999.0,994.0,509.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
6,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,7.0,depth_discrimination_stimuli/000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize_3/000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize_3-target.png,depth_discrimination_stimuli/000800_2014-06-08_22-42-09_260595134347_rgbf000095-resize_3/000800_2014-06-08_22-42-09_260595134347_rgbf000095-resize_3-target.png,1000.0,2.266,2.8,0.5339999999999998,0.0,1921.0,1017.0,990.0,1001.0,994.0,502.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
7,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,8.0,depth_discrimination_stimuli/002444_2014-06-28_20-32-08_260595134347_rgbf000027-resize_0/002444_2014-06-28_20-32-08_260595134347_rgbf000027-resize_0-target.png,depth_discrimination_stimuli/002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize_0/002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize_0-target.png,250.0,4.388999999999999,4.105,0.2839999999999989,0.0,1509.0,1017.0,237.0,1000.0,259.0,487.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
8,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,9.0,depth_discrimination_stimuli/001011_2014-06-08_23-18-54_260595134347_rgbf000044-resize_4/001011_2014-06-08_23-18-54_260595134347_rgbf000044-resize_4-target.png,depth_discrimination_stimuli/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4-target.png,250.0,2.4730000000000003,2.8435,0.37049999999999983,1.0,2062.0,1007.0,248.0,1011.0,245.0,489.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
10,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,11.0,depth_discrimination_stimuli/002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize_1/002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize_1-target.png,depth_discrimination_stimuli/000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize_3/000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize_3-target.png,1000.0,4.408,4.1530000000000005,0.2549999999999999,1.0,2884.0,1012.0,988.0,1008.0,998.0,494.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
11,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,12.0,depth_discrimination_stimuli/000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize_3/000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize_3-target.png,depth_discrimination_stimuli/003587_2014-05-23_16-48-02_094959634447_rgbf002384-resize_2/003587_2014-05-23_16-48-02_094959634447_rgbf002384-resize_2-target.png,1000.0,1.8030000000000002,1.357,0.4460000000000002,1.0,2003.0,1019.0,997.0,988.0,1011.0,490.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
12,995997.0,DepthScenes,v2_duration_discrimination,discrim_jsons/v2_shuffled_g0_rotated.json,http://34.201.58.129/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#3,3.0,1366.0,625.0,1366.0,768.0,8-21-2021,10-16-58,13.0,depth_discrimination_stimuli/002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize_2/002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize_2-target.png,depth_discrimination_stimuli/002340_2014-06-28_20-05-46_260595134347_rgbf000113-resize_0/002340_2014-06-28_20-05-46_260595134347_rgbf000113-resize_0-target.png,1000.0,2.0295,2.4735,0.44399999999999995,0.0,1967.0,1019.0,988.0,1002.0,999.0,500.0,,,,,,,559359,34,0,0,0,0,0,0,1,0,0
