,subjID,workerId,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,z_scored_RT,startTime,trial,stimulus_0,stimulus_1,duration,actual_depth_0,depth_difference,kinect_answer,actual_depth_1,discrim_choice,trial_RT,log_fixation,log_sceneDuration1,log_mask1,log_sceneDuration2,log_mask2,experimentTime,totalTime,age,gender
688,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,2.175147257818775,8-44-17,1.0,depth_discrimination_stimuli/000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize_1/000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize_1-target.png,depth_discrimination_stimuli/002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize_5/002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize_5-target.png,125.0,2.074,0.5696666666666999,depth_discrimination_stimuli/002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize_5/002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize_5-target.png,1.5043333333333,0.0,2816.0,1013.0,123.0,1000.0,139.0,484.0,,729251.0,58.0,Woman
689,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-1.3687659365771363,8-44-17,2.0,depth_discrimination_stimuli/000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize_6/000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize_6-target.png,depth_discrimination_stimuli/001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize_1/001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize_1-target.png,125.0,3.556,0.47250000000000014,depth_discrimination_stimuli/001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize_1/001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize_1-target.png,3.0835,0.0,1063.0,1012.0,172.0,954.0,124.0,500.0,,729251.0,58.0,Woman
690,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-1.144365272242883,8-44-17,3.0,depth_discrimination_stimuli/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1-target.png,depth_discrimination_stimuli/001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize_5/001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize_5-target.png,125.0,3.9125,0.7129999999999996,depth_discrimination_stimuli/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1-target.png,4.6255,1.0,1174.0,-0.2300134339400665,124.0,999.0,-2.132285947350648,501.0,,729251.0,58.0,Woman
691,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-1.0089162225996848,8-44-17,4.0,depth_discrimination_stimuli/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3-target.png,depth_discrimination_stimuli/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4-target.png,125.0,1.841,0.5880000000000003,depth_discrimination_stimuli/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3-target.png,2.4290000000000003,1.0,1241.0,1018.0,78.0,1052.0,108.0,462.0,,729251.0,58.0,Woman
692,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-2.585785755759303,8-44-17,5.0,depth_discrimination_stimuli/001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize_3/001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize_3-target.png,depth_discrimination_stimuli/000682_2014-06-08_23-14-58_260595134347_rgbf000041-resize_5/000682_2014-06-08_23-14-58_260595134347_rgbf000041-resize_5-target.png,125.0,1.9505,0.7734999999999999,depth_discrimination_stimuli/001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize_3/001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize_3-target.png,2.7239999999999998,0.0,461.0,1000.0,125.0,-0.2599704813953512,123.0,843.0,,729251.0,58.0,Woman
693,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-0.8289913656109592,8-44-17,6.0,depth_discrimination_stimuli/003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize_3/003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize_3-target.png,depth_discrimination_stimuli/001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize_4/001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize_4-target.png,125.0,3.6445,0.6105,depth_discrimination_stimuli/003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize_3/003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize_3-target.png,4.255,0.0,1330.0,1012.0,112.0,1000.0,125.0,501.0,,729251.0,58.0,Woman
694,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-1.2697061838530064,8-44-17,7.0,depth_discrimination_stimuli/001828_2014-06-26_21-40-03_260595134347_rgbf000024-resize_0/001828_2014-06-26_21-40-03_260595134347_rgbf000024-resize_0-target.png,depth_discrimination_stimuli/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3-target.png,125.0,4.8260000000000005,0.9545000000000003,depth_discrimination_stimuli/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3/000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize_3-target.png,3.8715,3.0,1112.0,1003.0,124.0,997.0,128.0,500.0,,729251.0,58.0,Woman
695,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-3.517334283288116,8-44-17,8.0,depth_discrimination_stimuli/002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize_1/002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize_1-target.png,depth_discrimination_stimuli/000522_2014-06-08_13-35-06_260595134347_rgbf000244-resize_1/000522_2014-06-08_13-35-06_260595134347_rgbf000244-resize_1-target.png,125.0,1.8915,0.4800000000000002,depth_discrimination_stimuli/002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize_1/002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize_1-target.png,2.3715,0.0,0.20864333236946023,1016.0,140.0,984.0,139.0,485.0,,729251.0,58.0,Woman
696,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-1.9691893357417602,8-44-17,9.0,depth_discrimination_stimuli/003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize_0/003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize_0-target.png,depth_discrimination_stimuli/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0-target.png,125.0,4.9305,0.6015000000000006,depth_discrimination_stimuli/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0/000414_2014-06-04_19-49-13_260595134347_rgbf000044-resize_0-target.png,4.329,0.0,766.0,-0.2300134339400665,125.0,1047.0,64.0,514.0,,729251.0,58.0,Woman
698,365292.0,A2VN1358M5F1P7,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim125_randls_53_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#295,295.0,1366.0,625.0,1366.0,768.0,9-6-2022,-0.3579521332696886,8-44-17,11.0,depth_discrimination_stimuli/002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize_0/002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize_0-target.png,depth_discrimination_stimuli/001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize_0/001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize_0-target.png,125.0,1.996,0.6665000000000001,depth_discrimination_stimuli/002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize_0/002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize_0-target.png,2.6625,1.0,1563.0,-0.2300134339400665,110.0,1045.0,128.0,466.0,,729251.0,58.0,Woman
